id,state,stop_date,stop_time,location_raw,county_name,county_fips,fine_grained_location,police_department,driver_gender,driver_age_raw,driver_age,driver_race_raw,driver_race,violation_raw,violation,search_conducted,search_type_raw,search_type,contraband_found,stop_outcome,is_arrested,stop_duration,vehicle_type,drugs_related_stop,district
IL-2004-000001,IL,2004-01-01,00:02,ILLINOIS STATE POLICE 17,,,17,Illinois State Police,F,1963.0,41.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Olds 2000,,ILLINOIS STATE POLICE 17
IL-2004-000002,IL,2004-01-01,00:07,ILLINOIS STATE POLICE 07,,,07,Illinois State Police,M,1987.0,17.0,Caucasian,White,"Moving Violation,Traffic Sign or Signal",Safe movement,FALSE,,,FALSE,Written Warning,,,Linc 1990,,ILLINOIS STATE POLICE 07
IL-2004-000003,IL,2004-01-01,00:14,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1981.0,23.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Chev 1996,,ILLINOIS STATE POLICE 11
IL-2004-000004,IL,2004-01-01,00:15,ILLINOIS STATE POLICE 03,Cook County,17031,03,Illinois State Police,F,1972.0,32.0,African American,Black,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Buic 1992,,ILLINOIS STATE POLICE 03
IL-2004-000005,IL,2004-01-01,00:15,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,F,1980.0,24.0,African American,Black,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Olds 1996,,ILLINOIS STATE POLICE 09
IL-2004-000006,IL,2004-01-01,00:20,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,M,1954.0,50.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Ford 1991,,ILLINOIS STATE POLICE 09
IL-2004-000007,IL,2004-01-01,00:20,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,F,1973.0,31.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Pont 2000,,ILLINOIS STATE POLICE 08
IL-2004-000008,IL,2004-01-01,00:21,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1935.0,69.0,Hispanic,Hispanic,"Moving Violation,Other",Moving violation,TRUE,Incident to Arrest,Incident to Arrest,TRUE,Citation,,,Chev 1998,TRUE,ILLINOIS STATE POLICE 15
IL-2004-000009,IL,2004-01-01,00:23,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1985.0,19.0,Hispanic,Hispanic,"Moving Violation,Other",Moving violation,TRUE,Incident to Arrest,Incident to Arrest,FALSE,Citation,,,Hyun 2004,,ILLINOIS STATE POLICE 15
IL-2004-000010,IL,2004-01-01,00:24,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,F,1966.0,38.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Ford 2001,,ILLINOIS STATE POLICE 22
IL-2004-000011,IL,2004-01-01,00:25,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1984.0,20.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Mazd 1991,,ILLINOIS STATE POLICE 08
IL-2004-000012,IL,2004-01-01,00:25,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,F,1950.0,54.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Chev 1990,,ILLINOIS STATE POLICE 22
IL-2004-000013,IL,2004-01-01,00:27,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,F,1957.0,47.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Buic 1988,,ILLINOIS STATE POLICE 08
IL-2004-000014,IL,2004-01-01,00:30,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1959.0,45.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Chev 1993,,ILLINOIS STATE POLICE 11
IL-2004-000015,IL,2004-01-01,00:30,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,M,1974.0,30.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Toyt 1996,,ILLINOIS STATE POLICE 09
IL-2004-000016,IL,2004-01-01,00:30,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,M,1970.0,34.0,African American,Black,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Chev 1993,,ILLINOIS STATE POLICE 09
IL-2004-000017,IL,2004-01-01,00:34,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1957.0,47.0,African American,Black,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Suba 1998,,ILLINOIS STATE POLICE 11
IL-2004-000018,IL,2004-01-01,00:35,ILLINOIS STATE POLICE 07,,,07,Illinois State Police,M,1987.0,17.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Merc 1999,,ILLINOIS STATE POLICE 07
IL-2004-000019,IL,2004-01-01,00:35,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1985.0,19.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Chev 1984,,ILLINOIS STATE POLICE 08
IL-2004-000020,IL,2004-01-01,00:35,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1984.0,20.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Pont 1996,,ILLINOIS STATE POLICE 08
IL-2004-000021,IL,2004-01-01,00:35,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1962.0,42.0,Hispanic,Hispanic,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Ford 1989,,ILLINOIS STATE POLICE 08
IL-2004-000022,IL,2004-01-01,00:36,ILLINOIS STATE POLICE 05,,,05,Illinois State Police,M,1978.0,26.0,Caucasian,White,"Moving Violation,Other",Moving violation,TRUE,Custodial Arrest,Incident to Arrest,FALSE,Citation,,,Pont 1996,,ILLINOIS STATE POLICE 05
IL-2004-000023,IL,2004-01-01,00:42,ILLINOIS STATE POLICE 05,,,05,Illinois State Police,F,1980.0,24.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Chev 1997,,ILLINOIS STATE POLICE 05
IL-2004-000024,IL,2004-01-01,00:43,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,F,1985.0,19.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Ford 1998,,ILLINOIS STATE POLICE 08
IL-2004-000025,IL,2004-01-01,00:45,ILLINOIS STATE POLICE 02,,,02,Illinois State Police,M,1976.0,28.0,Hispanic,Hispanic,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Olds 1993,,ILLINOIS STATE POLICE 02
IL-2004-000026,IL,2004-01-01,00:45,ILLINOIS STATE POLICE 10,,,10,Illinois State Police,M,1947.0,57.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Olds 1991,,ILLINOIS STATE POLICE 10
IL-2004-000027,IL,2004-01-01,00:46,ILLINOIS STATE POLICE 07,,,07,Illinois State Police,M,1978.0,26.0,African American,Black,"Equipment,NA",Equipment,TRUE,Incident to Arrest,Incident to Arrest,FALSE,Citation,,,Gmc 1989,,ILLINOIS STATE POLICE 07
IL-2004-000028,IL,2004-01-01,00:48,ILLINOIS STATE POLICE 03,Cook County,17031,03,Illinois State Police,M,1982.0,22.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Infi 1998,,ILLINOIS STATE POLICE 03
IL-2004-000029,IL,2004-01-01,00:48,ILLINOIS STATE POLICE 16,,,16,Illinois State Police,M,1987.0,17.0,Caucasian,White,"Moving Violation,Other",Moving violation,TRUE,Incident to Arrest,Incident to Arrest,TRUE,Citation,,,Pont 1994,TRUE,ILLINOIS STATE POLICE 16
IL-2004-000030,IL,2004-01-01,00:50,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1985.0,19.0,African American,Black,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Satr 1996,,ILLINOIS STATE POLICE 08
IL-2004-000031,IL,2004-01-01,00:53,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1983.0,21.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Niss 2004,,ILLINOIS STATE POLICE 11
IL-2004-000032,IL,2004-01-01,01:00,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,F,1985.0,19.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Chev 1986,,ILLINOIS STATE POLICE 08
IL-2004-000033,IL,2004-01-01,01:00,ILLINOIS STATE POLICE 10,,,10,Illinois State Police,M,1982.0,22.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Ford 1999,,ILLINOIS STATE POLICE 10
IL-2004-000034,IL,2004-01-01,01:02,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,M,1953.0,51.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Ford 2002,,ILLINOIS STATE POLICE 22
IL-2004-000035,IL,2004-01-01,01:04,ILLINOIS STATE POLICE 03,Cook County,17031,03,Illinois State Police,M,1985.0,19.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Plym 1999,,ILLINOIS STATE POLICE 03
IL-2004-000036,IL,2004-01-01,01:05,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1949.0,55.0,Caucasian,White,"License Plate/Registration,NA",Registration/plates,FALSE,,,FALSE,Written Warning,,,Chev 1999,,ILLINOIS STATE POLICE 08
IL-2004-000037,IL,2004-01-01,01:05,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1963.0,41.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Toyt 1987,,ILLINOIS STATE POLICE 08
IL-2004-000038,IL,2004-01-01,01:05,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,F,1986.0,18.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Pont 2003,,ILLINOIS STATE POLICE 08
IL-2004-000039,IL,2004-01-01,01:05,ILLINOIS STATE POLICE 10,,,10,Illinois State Police,M,1986.0,18.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Mits 1998,,ILLINOIS STATE POLICE 10
IL-2004-000040,IL,2004-01-01,01:08,ILLINOIS STATE POLICE 06,,,06,Illinois State Police,M,1970.0,34.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Written Warning,,,Toyt 2001,,ILLINOIS STATE POLICE 06
IL-2004-000041,IL,2004-01-01,01:10,ILLINOIS STATE POLICE 07,,,07,Illinois State Police,F,1979.0,25.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Chev 1990,,ILLINOIS STATE POLICE 07
IL-2004-000042,IL,2004-01-01,01:10,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,M,1955.0,49.0,African American,Black,"Moving Violation,Lane Violation",Safe movement,FALSE,,,FALSE,Written Warning,,,Ford 2002,,ILLINOIS STATE POLICE 09
IL-2004-000043,IL,2004-01-01,01:10,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1987.0,17.0,Asian/Pacific Islander,Asian,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Olds 1993,,ILLINOIS STATE POLICE 08
IL-2004-000044,IL,2004-01-01,01:10,ILLINOIS STATE POLICE 05,,,05,Illinois State Police,F,1983.0,21.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Ford 1996,,ILLINOIS STATE POLICE 05
IL-2004-000045,IL,2004-01-01,01:15,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,F,1981.0,23.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Ford 1992,,ILLINOIS STATE POLICE 11
IL-2004-000046,IL,2004-01-01,01:15,ILLINOIS STATE POLICE 10,,,10,Illinois State Police,M,1966.0,38.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Frtl 1984,,ILLINOIS STATE POLICE 10
IL-2004-000047,IL,2004-01-01,01:20,ILLINOIS STATE POLICE 10,,,10,Illinois State Police,M,1987.0,17.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Dodg 1991,,ILLINOIS STATE POLICE 10
IL-2004-000048,IL,2004-01-01,01:20,ILLINOIS STATE POLICE 03,Cook County,17031,03,Illinois State Police,F,1985.0,19.0,Hispanic,Hispanic,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Pont 1998,,ILLINOIS STATE POLICE 03
IL-2004-000049,IL,2004-01-01,01:20,ILLINOIS STATE POLICE 06,,,06,Illinois State Police,M,1970.0,34.0,Caucasian,White,"Moving Violation,Other",Moving violation,TRUE,Custodial Arrest,Incident to Arrest,TRUE,Citation,,,Chev 1995,TRUE,ILLINOIS STATE POLICE 06
IL-2004-000050,IL,2004-01-01,01:20,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,F,1983.0,21.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Chev 1997,,ILLINOIS STATE POLICE 08
IL-2004-000051,IL,2004-01-01,01:22,ILLINOIS STATE POLICE 03,Cook County,17031,03,Illinois State Police,M,1978.0,26.0,Hispanic,Hispanic,"Moving Violation,Other",Moving violation,TRUE,Incident to Arrest,Incident to Arrest,FALSE,Citation,,,Chev 2004,,ILLINOIS STATE POLICE 03
IL-2004-000052,IL,2004-01-01,01:25,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1977.0,27.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Dodg 2002,,ILLINOIS STATE POLICE 11
IL-2004-000053,IL,2004-01-01,01:27,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,M,1946.0,58.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Buic 1995,,ILLINOIS STATE POLICE 22
IL-2004-000054,IL,2004-01-01,01:30,ILLINOIS STATE POLICE 20,,,20,Illinois State Police,M,1957.0,47.0,Caucasian,White,"License Plate/Registration,NA",Registration/plates,FALSE,,,FALSE,Citation,,,Chry 2001,,ILLINOIS STATE POLICE 20
IL-2004-000055,IL,2004-01-01,01:30,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,F,1954.0,50.0,Caucasian,White,"Moving Violation,Lane Violation",Safe movement,FALSE,,,FALSE,Written Warning,,,Merc 2001,,ILLINOIS STATE POLICE 22
IL-2004-000056,IL,2004-01-01,01:30,ILLINOIS STATE POLICE 07,,,07,Illinois State Police,M,1956.0,48.0,Caucasian,White,"Moving Violation,Lane Violation",Safe movement,FALSE,,,FALSE,Written Warning,,,Plym 1996,,ILLINOIS STATE POLICE 07
IL-2004-000057,IL,2004-01-01,01:30,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,F,1975.0,29.0,Caucasian,White,"Moving Violation,Lane Violation",Safe movement,TRUE,Incident to Arrest,Incident to Arrest,FALSE,Citation,,,Chev 1993,,ILLINOIS STATE POLICE 09
IL-2004-000058,IL,2004-01-01,01:34,ILLINOIS STATE POLICE 10,,,10,Illinois State Police,F,1980.0,24.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Written Warning,,,Chev 2000,,ILLINOIS STATE POLICE 10
IL-2004-000059,IL,2004-01-01,01:35,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,M,1985.0,19.0,Caucasian,White,"Moving Violation,Lane Violation",Safe movement,FALSE,,,FALSE,Written Warning,,,Ford 1994,,ILLINOIS STATE POLICE 22
IL-2004-000060,IL,2004-01-01,01:36,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1983.0,21.0,Caucasian,White,"Moving Violation,Other",Moving violation,TRUE,Incident to Arrest,Incident to Arrest,FALSE,Citation,,,Mitz 1989,,ILLINOIS STATE POLICE 08
IL-2004-000061,IL,2004-01-01,01:37,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1972.0,32.0,African American,Black,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Chev 2000,,ILLINOIS STATE POLICE 11
IL-2004-000062,IL,2004-01-01,01:40,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1982.0,22.0,Hispanic,Hispanic,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Ford 2000,,ILLINOIS STATE POLICE 15
IL-2004-000063,IL,2004-01-01,01:40,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,M,1965.0,39.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Ford 1997,,ILLINOIS STATE POLICE 09
IL-2004-000064,IL,2004-01-01,01:40,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1982.0,22.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Chev 1998,,ILLINOIS STATE POLICE 08
IL-2004-000065,IL,2004-01-01,01:41,ILLINOIS STATE POLICE 03,Cook County,17031,03,Illinois State Police,M,1975.0,29.0,African American,Black,"Moving Violation,Speed",Speeding,TRUE,Incident to Arrest,Incident to Arrest,FALSE,Written Warning,,,Chev 2004,,ILLINOIS STATE POLICE 03
IL-2004-000066,IL,2004-01-01,01:45,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1971.0,33.0,African American,Black,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Ford 1992,,ILLINOIS STATE POLICE 15
IL-2004-000067,IL,2004-01-01,01:47,ILLINOIS STATE POLICE 19,,,19,Illinois State Police,M,1948.0,56.0,African American,Black,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Dodg 2001,,ILLINOIS STATE POLICE 19
IL-2004-000068,IL,2004-01-01,01:50,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1941.0,63.0,African American,Black,"Moving Violation,SeatBelt",Seat belt,FALSE,,,FALSE,Citation,,,Linc 2000,,ILLINOIS STATE POLICE 11
IL-2004-000069,IL,2004-01-01,01:50,ILLINOIS STATE POLICE 07,,,07,Illinois State Police,M,1975.0,29.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Chev 1993,,ILLINOIS STATE POLICE 07
IL-2004-000070,IL,2004-01-01,01:50,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,M,1956.0,48.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Toyt 1993,,ILLINOIS STATE POLICE 22
IL-2004-000071,IL,2004-01-01,01:53,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1965.0,39.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Chev 1989,,ILLINOIS STATE POLICE 08
IL-2004-000072,IL,2004-01-01,01:55,ILLINOIS STATE POLICE 03,Cook County,17031,03,Illinois State Police,M,1985.0,19.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Satr 2000,,ILLINOIS STATE POLICE 03
IL-2004-000073,IL,2004-01-01,01:57,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1984.0,20.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Ford 1999,,ILLINOIS STATE POLICE 11
IL-2004-000074,IL,2004-01-01,01:59,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,M,1953.0,51.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Chev 2003,,ILLINOIS STATE POLICE 22
IL-2004-000075,IL,2004-01-01,02:00,ILLINOIS STATE POLICE 10,,,10,Illinois State Police,F,1984.0,20.0,African American,Black,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Olds 1985,,ILLINOIS STATE POLICE 10
IL-2004-000076,IL,2004-01-01,02:00,ILLINOIS STATE POLICE 06,,,06,Illinois State Police,M,1971.0,33.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Chev 1991,,ILLINOIS STATE POLICE 06
IL-2004-000077,IL,2004-01-01,02:00,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1979.0,25.0,Caucasian,White,"License Plate/Registration,NA",Registration/plates,FALSE,,,FALSE,Citation,,,Ford 1995,,ILLINOIS STATE POLICE 11
IL-2004-000078,IL,2004-01-01,02:05,ILLINOIS STATE POLICE 07,,,07,Illinois State Police,M,1987.0,17.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Chev 2000,,ILLINOIS STATE POLICE 07
IL-2004-000079,IL,2004-01-01,02:05,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,F,1954.0,50.0,African American,Black,"Moving Violation,Lane Violation",Safe movement,FALSE,,,FALSE,Written Warning,,,Plym 1997,,ILLINOIS STATE POLICE 09
IL-2004-000080,IL,2004-01-01,02:05,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1980.0,24.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Chev 1989,,ILLINOIS STATE POLICE 08
IL-2004-000081,IL,2004-01-01,02:10,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,M,1986.0,18.0,Caucasian,White,"Moving Violation,Lane Violation",Safe movement,FALSE,,,FALSE,Written Warning,,,Gmc 1995,,ILLINOIS STATE POLICE 09
IL-2004-000082,IL,2004-01-01,02:10,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1980.0,24.0,African American,Black,"Moving Violation,Other",Moving violation,TRUE,Custodial Arrest,Incident to Arrest,TRUE,Citation,,,Kia 2002,TRUE,ILLINOIS STATE POLICE 11
IL-2004-000083,IL,2004-01-01,02:10,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,F,1962.0,42.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Linc 2003,,ILLINOIS STATE POLICE 22
IL-2004-000084,IL,2004-01-01,02:15,ILLINOIS STATE POLICE 02,,,02,Illinois State Police,M,1970.0,34.0,African American,Black,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Dodg 2003,,ILLINOIS STATE POLICE 02
IL-2004-000085,IL,2004-01-01,02:20,ILLINOIS STATE POLICE 17,,,17,Illinois State Police,F,1984.0,20.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Ford 1995,,ILLINOIS STATE POLICE 17
IL-2004-000086,IL,2004-01-01,02:20,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,F,1983.0,21.0,Caucasian,White,"Moving Violation,Lane Violation",Safe movement,FALSE,,,FALSE,Written Warning,,,Acur 1995,,ILLINOIS STATE POLICE 15
IL-2004-000087,IL,2004-01-01,02:20,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1956.0,48.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Written Warning,,,Ford 1997,,ILLINOIS STATE POLICE 15
IL-2004-000088,IL,2004-01-01,02:20,ILLINOIS STATE POLICE 05,,,05,Illinois State Police,M,1985.0,19.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Dodg 1998,,ILLINOIS STATE POLICE 05
IL-2004-000089,IL,2004-01-01,02:24,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,F,1982.0,22.0,African American,Black,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Pont 2000,,ILLINOIS STATE POLICE 11
IL-2004-000090,IL,2004-01-01,02:25,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,F,1979.0,25.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Chev 2001,,ILLINOIS STATE POLICE 09
IL-2004-000091,IL,2004-01-01,02:25,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,F,1978.0,26.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Ford 2001,,ILLINOIS STATE POLICE 08
IL-2004-000092,IL,2004-01-01,02:34,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1983.0,21.0,African American,Black,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Olds 1993,,ILLINOIS STATE POLICE 15
IL-2004-000093,IL,2004-01-01,02:35,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1966.0,38.0,African American,Black,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Written Warning,,,Ford 2000,,ILLINOIS STATE POLICE 15
IL-2004-000094,IL,2004-01-01,02:37,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1986.0,18.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Ford 2004,,ILLINOIS STATE POLICE 11
IL-2004-000095,IL,2004-01-01,02:40,ILLINOIS STATE POLICE 10,,,10,Illinois State Police,M,1984.0,20.0,African American,Black,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Chev 1991,,ILLINOIS STATE POLICE 10
IL-2004-000096,IL,2004-01-01,02:40,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1978.0,26.0,Caucasian,White,"Moving Violation,Lane Violation",Safe movement,FALSE,,,FALSE,Written Warning,,,Volk 1999,,ILLINOIS STATE POLICE 15
IL-2004-000097,IL,2004-01-01,02:45,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,M,1982.0,22.0,Caucasian,White,"Moving Violation,Lane Violation",Safe movement,FALSE,,,FALSE,Citation,,,Dodg 1996,,ILLINOIS STATE POLICE 22
IL-2004-000098,IL,2004-01-01,02:48,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1963.0,41.0,African American,Black,"Moving Violation,Other",Moving violation,TRUE,Incident to Arrest,Incident to Arrest,TRUE,Citation,,,Chev 1989,TRUE,ILLINOIS STATE POLICE 15
IL-2004-000099,IL,2004-01-01,02:50,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1982.0,22.0,African American,Black,"Moving Violation,SeatBelt",Seat belt,FALSE,,,FALSE,Citation,,,Dodg 2004,,ILLINOIS STATE POLICE 15
IL-2004-000100,IL,2004-01-01,02:50,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1976.0,28.0,African American,Black,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Ford 1994,,ILLINOIS STATE POLICE 11
IL-2004-000101,IL,2004-01-01,02:51,ILLINOIS STATE POLICE 10,,,10,Illinois State Police,F,1978.0,26.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Hond 2004,,ILLINOIS STATE POLICE 10
IL-2004-000102,IL,2004-01-01,02:55,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1986.0,18.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Ford 1987,,ILLINOIS STATE POLICE 11
IL-2004-000103,IL,2004-01-01,03:00,ILLINOIS STATE POLICE 09,,,09,Illinois State Police,M,1972.0,32.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Intl 1999,,ILLINOIS STATE POLICE 09
