id,state,stop_date,stop_time,location_raw,county_name,county_fips,fine_grained_location,police_department,driver_gender,driver_age_raw,driver_age,driver_race_raw,driver_race,violation_raw,violation,search_conducted,search_type_raw,search_type,contraband_found,stop_outcome,is_arrested,stop_duration,vehicle_type,drugs_related_stop,district
IL-2004-001040,IL,2004-01-02,14:32,ILLINOIS STATE POLICE 07,,,07,Illinois State Police,M,1967.0,37.0,Caucasian,White,"License Plate/Registration,NA",Registration/plates,FALSE,,,FALSE,Citation,,,Ford 1996,,ILLINOIS STATE POLICE 07
IL-2004-001041,IL,2004-01-02,14:35,ILLINOIS STATE POLICE 06,,,06,Illinois State Police,M,1974.0,30.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Ford 2001,,ILLINOIS STATE POLICE 06
IL-2004-001042,IL,2004-01-02,14:35,ILLINOIS STATE POLICE 21,,,21,Illinois State Police,M,1971.0,33.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Chev 1999,,ILLINOIS STATE POLICE 21
IL-2004-001043,IL,2004-01-02,14:37,ILLINOIS STATE POLICE 07,,,07,Illinois State Police,M,1981.0,23.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Dodg 1999,,ILLINOIS STATE POLICE 07
IL-2004-001044,IL,2004-01-02,14:37,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,F,1979.0,25.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Dodg 1993,,ILLINOIS STATE POLICE 22
IL-2004-001045,IL,2004-01-02,14:37,ILLINOIS STATE POLICE 16,,,16,Illinois State Police,M,1960.0,44.0,Caucasian,White,"License Plate/Registration,NA",Registration/plates,FALSE,,,FALSE,Written Warning,,,Brew 1987,,ILLINOIS STATE POLICE 16
IL-2004-001046,IL,2004-01-02,14:38,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1982.0,22.0,African American,Black,"Moving Violation,SeatBelt",Seat belt,FALSE,,,FALSE,Citation,,,Buic 1984,,ILLINOIS STATE POLICE 11
IL-2004-001047,IL,2004-01-02,14:45,ILLINOIS STATE POLICE 21,,,21,Illinois State Police,M,1978.0,26.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Chev 2004,,ILLINOIS STATE POLICE 21
IL-2004-001048,IL,2004-01-02,14:45,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1983.0,21.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Written Warning,,,Toyt 1993,,ILLINOIS STATE POLICE 08
IL-2004-001049,IL,2004-01-02,14:45,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1983.0,21.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Nisn 2003,,ILLINOIS STATE POLICE 08
IL-2004-001050,IL,2004-01-02,14:47,ILLINOIS STATE POLICE 16,,,16,Illinois State Police,M,1962.0,42.0,Caucasian,White,"Moving Violation,Lane Violation",Safe movement,FALSE,,,FALSE,Citation,,,Chev 2000,,ILLINOIS STATE POLICE 16
IL-2004-001051,IL,2004-01-02,14:48,ILLINOIS STATE POLICE 19,,,19,Illinois State Police,F,1974.0,30.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Satu 1999,,ILLINOIS STATE POLICE 19
IL-2004-001052,IL,2004-01-02,14:48,ILLINOIS STATE POLICE 16,,,16,Illinois State Police,M,1955.0,49.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Merc 2002,,ILLINOIS STATE POLICE 16
IL-2004-001053,IL,2004-01-02,14:50,ILLINOIS STATE POLICE 21,,,21,Illinois State Police,M,1974.0,30.0,African American,Black,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Hyun 1999,,ILLINOIS STATE POLICE 21
IL-2004-001054,IL,2004-01-02,14:50,ILLINOIS STATE POLICE 13,,,13,Illinois State Police,F,1978.0,26.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Kia 2001,,ILLINOIS STATE POLICE 13
IL-2004-001055,IL,2004-01-02,14:50,ILLINOIS STATE POLICE 16,,,16,Illinois State Police,M,1948.0,56.0,African American,Black,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Dodg 2000,,ILLINOIS STATE POLICE 16
IL-2004-001056,IL,2004-01-02,14:55,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,F,1971.0,33.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Merc 1992,,ILLINOIS STATE POLICE 15
IL-2004-001057,IL,2004-01-02,14:55,ILLINOIS STATE POLICE 17,,,17,Illinois State Police,M,1931.0,73.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Shas 1995,,ILLINOIS STATE POLICE 17
IL-2004-001058,IL,2004-01-02,14:59,ILLINOIS STATE POLICE 20,,,20,Illinois State Police,M,1953.0,51.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Ford 1995,,ILLINOIS STATE POLICE 20
IL-2004-001059,IL,2004-01-02,15:00,ILLINOIS STATE POLICE 14,,,14,Illinois State Police,M,1953.0,51.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Chev 1987,,ILLINOIS STATE POLICE 14
IL-2004-001060,IL,2004-01-02,15:00,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1968.0,36.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Ptrb 1999,,ILLINOIS STATE POLICE 08
IL-2004-001061,IL,2004-01-02,15:04,ILLINOIS STATE POLICE 19,,,19,Illinois State Police,F,1981.0,23.0,African American,Black,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Mits 2003,,ILLINOIS STATE POLICE 19
IL-2004-001062,IL,2004-01-02,15:05,ILLINOIS STATE POLICE 10,,,10,Illinois State Police,M,1964.0,40.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Ford 1999,,ILLINOIS STATE POLICE 10
IL-2004-001063,IL,2004-01-02,15:05,ILLINOIS STATE POLICE 20,,,20,Illinois State Police,M,1933.0,71.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Toyt 1998,,ILLINOIS STATE POLICE 20
IL-2004-001064,IL,2004-01-02,15:10,ILLINOIS STATE POLICE 21,,,21,Illinois State Police,F,1981.0,23.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Hond 1997,,ILLINOIS STATE POLICE 21
IL-2004-001065,IL,2004-01-02,15:10,ILLINOIS STATE POLICE 06,,,06,Illinois State Police,M,1982.0,22.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Pont 1997,,ILLINOIS STATE POLICE 06
IL-2004-001066,IL,2004-01-02,15:14,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1960.0,44.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Ford 1990,,ILLINOIS STATE POLICE 15
IL-2004-001067,IL,2004-01-02,15:15,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1969.0,35.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Written Warning,,,Chev 1987,,ILLINOIS STATE POLICE 15
IL-2004-001068,IL,2004-01-02,15:15,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1962.0,42.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Hynd 2003,,ILLINOIS STATE POLICE 08
IL-2004-001069,IL,2004-01-02,15:15,ILLINOIS STATE POLICE 20,,,20,Illinois State Police,M,1945.0,59.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Chry 2001,,ILLINOIS STATE POLICE 20
IL-2004-001070,IL,2004-01-02,15:16,ILLINOIS STATE POLICE 14,,,14,Illinois State Police,M,1983.0,21.0,African American,Black,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Mits 2000,,ILLINOIS STATE POLICE 14
IL-2004-001071,IL,2004-01-02,15:19,ILLINOIS STATE POLICE 06,,,06,Illinois State Police,M,1980.0,24.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Hond 2001,,ILLINOIS STATE POLICE 06
IL-2004-001072,IL,2004-01-02,15:20,ILLINOIS STATE POLICE 16,,,16,Illinois State Police,M,1968.0,36.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Plym 2000,,ILLINOIS STATE POLICE 16
IL-2004-001073,IL,2004-01-02,15:20,ILLINOIS STATE POLICE 03,Cook County,17031,03,Illinois State Police,M,1944.0,60.0,African American,Black,"Moving Violation,Lane Violation",Safe movement,TRUE,Custodial Arrest,Incident to Arrest,FALSE,Citation,,,Dodg 1992,,ILLINOIS STATE POLICE 03
IL-2004-001074,IL,2004-01-02,15:20,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1983.0,21.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Acur 2001,,ILLINOIS STATE POLICE 15
IL-2004-001075,IL,2004-01-02,15:20,ILLINOIS STATE POLICE 18,,,18,Illinois State Police,M,1942.0,62.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Chry 2003,,ILLINOIS STATE POLICE 18
IL-2004-001076,IL,2004-01-02,15:20,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,F,1976.0,28.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Dodg 2002,,ILLINOIS STATE POLICE 11
IL-2004-001077,IL,2004-01-02,15:24,ILLINOIS STATE POLICE 02,,,02,Illinois State Police,M,1962.0,42.0,Hispanic,Hispanic,"License Plate/Registration,NA",Registration/plates,FALSE,,,FALSE,Citation,,,Pont 1987,,ILLINOIS STATE POLICE 02
IL-2004-001078,IL,2004-01-02,15:24,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1969.0,35.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Dodg 1993,,ILLINOIS STATE POLICE 11
IL-2004-001079,IL,2004-01-02,15:25,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1974.0,30.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Dodg 2002,,ILLINOIS STATE POLICE 11
IL-2004-001080,IL,2004-01-02,15:26,ILLINOIS STATE POLICE 21,,,21,Illinois State Police,M,1971.0,33.0,Hispanic,Hispanic,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Chry 1999,,ILLINOIS STATE POLICE 21
IL-2004-001081,IL,2004-01-02,15:26,ILLINOIS STATE POLICE 17,,,17,Illinois State Police,M,1981.0,23.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Written Warning,,,Chev 1985,,ILLINOIS STATE POLICE 17
IL-2004-001082,IL,2004-01-02,15:27,ILLINOIS STATE POLICE 14,,,14,Illinois State Police,M,1980.0,24.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Citation,,,Dodg 1994,,ILLINOIS STATE POLICE 14
IL-2004-001083,IL,2004-01-02,15:27,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1977.0,27.0,Caucasian,White,"License Plate/Registration,NA",Registration/plates,FALSE,,,FALSE,Written Warning,,,Chev 1990,,ILLINOIS STATE POLICE 08
IL-2004-001084,IL,2004-01-02,15:30,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1959.0,45.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Frei 1999,,ILLINOIS STATE POLICE 15
IL-2004-001085,IL,2004-01-02,15:30,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1959.0,45.0,Caucasian,White,"License Plate/Registration,NA",Registration/plates,FALSE,,,FALSE,Citation,,,Dodg 1998,,ILLINOIS STATE POLICE 15
IL-2004-001086,IL,2004-01-02,15:31,ILLINOIS STATE POLICE 16,,,16,Illinois State Police,M,1985.0,19.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Pont 1999,,ILLINOIS STATE POLICE 16
IL-2004-001087,IL,2004-01-02,15:35,ILLINOIS STATE POLICE 17,,,17,Illinois State Police,M,1957.0,47.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Kia 2002,,ILLINOIS STATE POLICE 17
IL-2004-001088,IL,2004-01-02,15:35,ILLINOIS STATE POLICE 18,,,18,Illinois State Police,M,1944.0,60.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Dodg 2004,,ILLINOIS STATE POLICE 18
IL-2004-001089,IL,2004-01-02,15:35,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1938.0,66.0,Hispanic,Hispanic,"Moving Violation,Lane Violation",Safe movement,FALSE,,,FALSE,Citation,,,Jeep 1995,,ILLINOIS STATE POLICE 15
IL-2004-001090,IL,2004-01-02,15:37,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1974.0,30.0,Caucasian,White,"Moving Violation,Other",Moving violation,FALSE,,,FALSE,Written Warning,,,Dodg 2000,,ILLINOIS STATE POLICE 08
IL-2004-001091,IL,2004-01-02,15:39,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1960.0,44.0,Caucasian,White,"Moving Violation,Other",Moving violation,TRUE,Incident to Arrest,Incident to Arrest,FALSE,Citation,,,Dodg 2003,,ILLINOIS STATE POLICE 08
IL-2004-001092,IL,2004-01-02,15:39,ILLINOIS STATE POLICE 20,,,20,Illinois State Police,M,1982.0,22.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Lexu 2000,,ILLINOIS STATE POLICE 20
IL-2004-001093,IL,2004-01-02,15:40,ILLINOIS STATE POLICE 14,,,14,Illinois State Police,F,1964.0,40.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Olds 1999,,ILLINOIS STATE POLICE 14
IL-2004-001094,IL,2004-01-02,15:40,ILLINOIS STATE POLICE 14,,,14,Illinois State Police,M,1982.0,22.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Buic 1992,,ILLINOIS STATE POLICE 14
IL-2004-001095,IL,2004-01-02,15:43,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1985.0,19.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Chev 1998,,ILLINOIS STATE POLICE 11
IL-2004-001096,IL,2004-01-02,15:45,ILLINOIS STATE POLICE 11,,,11,Illinois State Police,M,1976.0,28.0,Caucasian,White,"License Plate/Registration,NA",Registration/plates,FALSE,,,FALSE,Citation,,,Olds 1995,,ILLINOIS STATE POLICE 11
IL-2004-001097,IL,2004-01-02,15:45,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1962.0,42.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Toyt 1985,,ILLINOIS STATE POLICE 08
IL-2004-001098,IL,2004-01-02,15:45,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,M,1973.0,31.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Ford 2004,,ILLINOIS STATE POLICE 22
IL-2004-001099,IL,2004-01-02,15:50,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,M,1980.0,24.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Pont 1997,,ILLINOIS STATE POLICE 15
IL-2004-001100,IL,2004-01-02,15:50,ILLINOIS STATE POLICE 15,,,15,Illinois State Police,F,1966.0,38.0,Caucasian,White,"License Plate/Registration,NA",Registration/plates,FALSE,,,FALSE,Written Warning,,,Hond 2003,,ILLINOIS STATE POLICE 15
IL-2004-001101,IL,2004-01-02,15:50,ILLINOIS STATE POLICE 06,,,06,Illinois State Police,M,1964.0,40.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Chev 1995,,ILLINOIS STATE POLICE 06
IL-2004-001102,IL,2004-01-02,15:50,ILLINOIS STATE POLICE 20,,,20,Illinois State Police,M,1947.0,57.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Dodg 1998,,ILLINOIS STATE POLICE 20
IL-2004-001103,IL,2004-01-02,15:50,ILLINOIS STATE POLICE 13,,,13,Illinois State Police,M,1980.0,24.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Gmc 1990,,ILLINOIS STATE POLICE 13
IL-2004-001104,IL,2004-01-02,15:55,ILLINOIS STATE POLICE 17,,,17,Illinois State Police,F,1943.0,61.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Ford 2002,,ILLINOIS STATE POLICE 17
IL-2004-001105,IL,2004-01-02,15:55,ILLINOIS STATE POLICE 07,,,07,Illinois State Police,M,1963.0,41.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Niss 1996,,ILLINOIS STATE POLICE 07
IL-2004-001106,IL,2004-01-02,15:55,ILLINOIS STATE POLICE 16,,,16,Illinois State Police,M,1960.0,44.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Merc 2000,,ILLINOIS STATE POLICE 16
IL-2004-001107,IL,2004-01-02,15:58,ILLINOIS STATE POLICE 17,,,17,Illinois State Police,M,1965.0,39.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Niss 2002,,ILLINOIS STATE POLICE 17
